Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Centro,15-19 anni,totale,malattie del sistema nervoso e degli organi di senso
Centro,totale,femmine,di cui tumori maligni dell'esofago
Centro,50-54 anni,femmine,"malattie endocrine, nutrizionali e metaboliche"
Centro,totale,maschi,"omicidio, aggressione"
Centro,50-54 anni,maschi,malattie del sistema circolatorio
Centro,90-94 anni,femmine,tumori maligni
Centro,40-44 anni,totale,di cui tumori maligni del pancreas
Centro,90-94 anni,maschi,cause esterne di traumatismo e avvelenamento
Centro,90-94 anni,totale,alcune malattie infettive e parassitarie
Centro,25-29 anni,totale,"Covid-19, virus identificato"
Centro,15-19 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Centro,75-79 anni,totale,malattie dell'apparato genitourinario
Centro,85-89 anni,totale,alcune malattie infettive e parassitarie
Centro,totale,maschi,di cui altri accidenti
Centro,95 anni e più,femmine,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,80-84 anni,maschi,morbo di parkinson
Centro,10-14 anni,maschi,cause esterne di traumatismo e avvelenamento
Centro,30-34 anni,maschi,malattie dell'apparato digerente
Centro,45-49 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,75-79 anni,femmine,malattie croniche delle basse vie respiratorie
Centro,90-94 anni,femmine,malattia di alzheimer
Centro,40-44 anni,totale,Covid-19
Centro,0 anni,femmine,altre malattie dell'apparato digerente
Centro,65-69 anni,maschi,polmonite
Centro,50-54 anni,femmine,"di cui tumori maligni delle labbra, cavità orale e faringe"
Centro,80-84 anni,femmine,du cui altre malattie ischemiche del cuore
Centro,45-49 anni,maschi,altre malattie dell'apparato digerente
Centro,85-89 anni,maschi,morbo di parkinson
Centro,10-14 anni,totale,altre cause esterne di traumatismo e avvelenamento
Centro,totale,maschi,epatite virale
Centro,totale,maschi,cause sconosciute e non specificate
Centro,50-54 anni,maschi,tumori
Centro,40-44 anni,maschi,di cui altri tumori maligni
Centro,totale,femmine,di cui altri accidenti
Centro,65-69 anni,maschi,di cui accidenti di trasporto
Centro,80-84 anni,totale,di cui tumori maligni di altre parti dell'utero
Centro,85-89 anni,femmine,malattie del sistema circolatorio
Centro,totale,femmine,di cui altre malattie croniche delle basse vie respiratorie
Centro,60-64 anni,maschi,malattie ischemiche del cuore
Centro,95 anni e più,femmine,malattie cerebrovascolari
Centro,55-59 anni,femmine,abuso di alcool (compresa psicosi alcolica)
Centro,45-49 anni,femmine,di cui morbo di hodgkin e linfomi
Centro,70-74 anni,maschi,malattie della cute e del tessuto sottocutaneo
Centro,65-69 anni,maschi,di cui altri accidenti
Centro,95 anni e più,maschi,tubercolosi
Centro,95 anni e più,femmine,altre malattie del sistema respiratorio
Centro,65-69 anni,femmine,tumori
Centro,75-79 anni,totale,di cui tumori maligni dell'esofago
Centro,30-34 anni,femmine,malattie ischemiche del cuore
Centro,15-19 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,50-54 anni,maschi,influenza
Centro,45-49 anni,maschi,di cui tumori maligni dell'esofago
Centro,35-39 anni,femmine,disturbi psichici e comportamentali
Centro,30-34 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,70-74 anni,totale,di cui asma
Centro,70-74 anni,maschi,cause esterne di traumatismo e avvelenamento
Centro,40-44 anni,femmine,di cui tumori maligni del seno
Centro,75-79 anni,totale,"Covid-19, virus non identificato"
Centro,totale,totale,abuso di alcool (compresa psicosi alcolica)
Centro,0 anni,maschi,tumori maligni
Centro,60-64 anni,maschi,malattie del sistema respiratorio
Centro,45-49 anni,femmine,altre malattie del sistema respiratorio
Centro,35-39 anni,totale,suicidio e autolesione intenzionale
Centro,35-39 anni,maschi,diabete mellito
Centro,45-49 anni,totale,totale
Centro,0 anni,totale,altre malattie infettive e parassitarie
Centro,40-44 anni,totale,tumori non maligni (benigni e di comportamento incerto)
Centro,75-79 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,75-79 anni,femmine,artrite reumatoide a osteoartrosi
Centro,70-74 anni,totale,di cui tumori maligni del seno
Centro,35-39 anni,maschi,di cui altri tumori maligni
Centro,50-54 anni,maschi,malattie dell'apparato genitourinario
Centro,25-29 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Centro,85-89 anni,totale,diabete mellito
Centro,85-89 anni,maschi,di cui tumori maligni del pancreas
Centro,5-9 anni,femmine,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,0 anni,totale,altre malattie del sistema nervoso e degli organi di senso
Centro,60-64 anni,femmine,tubercolosi
Centro,50-54 anni,femmine,altre malattie del sistema respiratorio
Centro,85-89 anni,femmine,altri disturbi psichici e comportamentali
Centro,70-74 anni,maschi,du cui altre malattie ischemiche del cuore
Centro,95 anni e più,maschi,di cui tumori maligni del pancreas
Centro,totale,femmine,malattie della cute e del tessuto sottocutaneo
Centro,45-49 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Centro,totale,femmine,altre malattie infettive e parassitarie
Centro,95 anni e più,totale,aids (malattia da hiv)
Centro,45-49 anni,totale,malattie del sistema circolatorio
Centro,20-24 anni,maschi,tumori
Centro,45-49 anni,totale,di cui tumori maligni dello stomaco
Centro,80-84 anni,femmine,di cui cadute accidentali
Centro,40-44 anni,totale,di cui infarto miocardico acuto
Centro,95 anni e più,femmine,tumori maligni
Centro,25-29 anni,femmine,aids (malattia da hiv)
Centro,60-64 anni,femmine,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,totale,femmine,malattia di alzheimer
Centro,60-64 anni,totale,malformazioni congenite ed anomalie cromosomiche
Centro,25-29 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,40-44 anni,totale,cause sconosciute e non specificate
Centro,40-44 anni,femmine,altre malattie del sistema respiratorio
Centro,35-39 anni,totale,altre malattie del cuore
Centro,75-79 anni,maschi,totale
Centro,0 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,45-49 anni,totale,di cui tumori maligni della laringe
Centro,65-69 anni,femmine,di cui annegamento e sommersione accidentali
Centro,70-74 anni,maschi,di cui tumori maligni della tiroide
Centro,85-89 anni,maschi,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,30-34 anni,totale,"cirrosi, fibrosi ed epatite cronica"
Centro,45-49 anni,maschi,altre malattie dell'apparato genitourinario
Centro,60-64 anni,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,80-84 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,60-64 anni,femmine,"Covid-19, virus identificato"
Centro,45-49 anni,femmine,altri disturbi psichici e comportamentali
Centro,25-29 anni,maschi,altre malattie del sistema circolatorio
Centro,75-79 anni,totale,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,80-84 anni,femmine,di cui avvelenamento accidentale
Centro,35-39 anni,totale,di cui tumori maligni dello stomaco
Centro,40-44 anni,femmine,di cui tumori maligni di altre parti dell'utero
Centro,40-44 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,35-39 anni,maschi,eventi di intento indeterminato
Centro,70-74 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,90-94 anni,maschi,altre malattie infettive e parassitarie
Centro,90-94 anni,maschi,di cui asma
Centro,5-9 anni,totale,tumori maligni
Centro,80-84 anni,femmine,demenza
Centro,55-59 anni,femmine,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,65-69 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,70-74 anni,femmine,disturbi psichici e comportamentali
Centro,60-64 anni,totale,abuso di alcool (compresa psicosi alcolica)
Centro,totale,maschi,tumori maligni
Centro,80-84 anni,femmine,influenza
Centro,60-64 anni,maschi,altre cause esterne di traumatismo e avvelenamento
Centro,50-54 anni,femmine,artrite reumatoide a osteoartrosi
Centro,60-64 anni,femmine,malattie dell'apparato genitourinario
Centro,55-59 anni,femmine,"Covid-19, virus non identificato"
Centro,80-84 anni,maschi,di cui tumori maligni del seno
Centro,80-84 anni,femmine,di cui tumori maligni della vescica
Centro,95 anni e più,maschi,di cui cadute accidentali
Centro,40-44 anni,totale,aids (malattia da hiv)
Centro,15-19 anni,femmine,tumori maligni
Centro,5-9 anni,maschi,altre malattie del sistema nervoso e degli organi di senso
Centro,65-69 anni,femmine,di cui altri accidenti
Centro,35-39 anni,femmine,cause esterne di traumatismo e avvelenamento
Centro,totale,totale,accidenti
Centro,90-94 anni,totale,altre malattie del sistema respiratorio
Centro,70-74 anni,totale,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,80-84 anni,maschi,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,95 anni e più,maschi,accidenti
Centro,25-29 anni,totale,"altri sintomi, segni, risultati anomali e cause mal definite"
Centro,25-29 anni,maschi,"Covid-19, virus identificato"
Centro,90-94 anni,femmine,epatite virale
Centro,80-84 anni,totale,totale
Centro,20-24 anni,totale,totale
Centro,30-34 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,60-64 anni,femmine,di cui accidenti di trasporto
Centro,25-29 anni,maschi,di cui infarto miocardico acuto
Centro,95 anni e più,maschi,di cui accidenti di trasporto
Centro,40-44 anni,totale,malattie croniche delle basse vie respiratorie
Centro,40-44 anni,femmine,tumori
Centro,30-34 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,45-49 anni,maschi,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,50-54 anni,femmine,diabete mellito
Centro,95 anni e più,totale,"Covid-19, virus non identificato"
Centro,55-59 anni,maschi,Covid-19
Centro,25-29 anni,totale,"Covid-19, virus non identificato"
Centro,65-69 anni,femmine,di cui morbo di hodgkin e linfomi
Centro,65-69 anni,totale,cause sconosciute e non specificate
Centro,90-94 anni,totale,di cui cadute accidentali
Centro,totale,femmine,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,55-59 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Centro,5-9 anni,totale,di cui leucemia
Centro,95 anni e più,totale,di cui tumori maligni del rene
Centro,85-89 anni,totale,di cui tumori maligni dell'esofago
Centro,45-49 anni,femmine,malattie dell'apparato genitourinario
Centro,65-69 anni,totale,tumori maligni
Centro,1-4 anni,femmine,altre malattie infettive e parassitarie
Centro,55-59 anni,totale,di cui tumori maligni della prostata
Centro,80-84 anni,maschi,di cui tumori maligni del pancreas
Centro,55-59 anni,totale,"altre malattie endocrine, nutrizionali e metaboliche"
Centro,90-94 anni,femmine,di cui altri accidenti
Centro,95 anni e più,totale,malattie del sistema nervoso e degli organi di senso
Centro,45-49 anni,maschi,tumori maligni
Centro,10-14 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,80-84 anni,femmine,alcune malattie infettive e parassitarie
Centro,80-84 anni,totale,"dipendenza da droghe, tossicomania"
Centro,50-54 anni,totale,di cui morbo di hodgkin e linfomi
Centro,95 anni e più,totale,di cui tumori maligni dell'esofago
Centro,80-84 anni,femmine,malattie del sistema nervoso e degli organi di senso
Centro,65-69 anni,totale,"omicidio, aggressione"
Centro,35-39 anni,maschi,malattie croniche delle basse vie respiratorie
Centro,35-39 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Centro,25-29 anni,totale,malattie cerebrovascolari
Centro,80-84 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,60-64 anni,maschi,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,25-29 anni,totale,di cui melanomi maligni della cute
Centro,80-84 anni,femmine,malformazioni congenite ed anomalie cromosomiche
Centro,60-64 anni,femmine,altre malattie del cuore
Centro,85-89 anni,femmine,di cui accidenti di trasporto
Centro,45-49 anni,maschi,abuso di alcool (compresa psicosi alcolica)
Centro,60-64 anni,maschi,altre malattie dell'apparato digerente
Centro,85-89 anni,femmine,di cui tumori maligni del fegato e dei dotti biliari intraepatici
Centro,50-54 anni,totale,di cui tumori maligni dello stomaco
Centro,65-69 anni,maschi,di cui infarto miocardico acuto
Centro,70-74 anni,totale,malattie della cute e del tessuto sottocutaneo
Centro,5-9 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,50-54 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,65-69 anni,maschi,malattie della cute e del tessuto sottocutaneo
Centro,60-64 anni,femmine,di cui leucemia
Centro,80-84 anni,femmine,altre malattie infettive e parassitarie
Centro,65-69 anni,totale,"ulcera dello stomaco, duodeno e digiuno"
Centro,1-4 anni,femmine,altre malattie del sistema nervoso e degli organi di senso
Centro,65-69 anni,femmine,polmonite
Centro,90-94 anni,maschi,disturbi psichici e comportamentali
Centro,80-84 anni,totale,di cui tumori maligni del rene
Centro,60-64 anni,maschi,di cui tumori maligni del rene
Centro,totale,maschi,"ulcera dello stomaco, duodeno e digiuno"
Centro,35-39 anni,totale,Covid-19
Centro,1-4 anni,totale,altre malattie infettive e parassitarie
Centro,40-44 anni,maschi,"cirrosi, fibrosi ed epatite cronica"
Centro,90-94 anni,femmine,polmonite
Centro,30-34 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Centro,55-59 anni,femmine,suicidio e autolesione intenzionale
Centro,60-64 anni,femmine,malattia di alzheimer
Centro,30-34 anni,totale,aids (malattia da hiv)
Centro,55-59 anni,totale,"Covid-19, virus non identificato"
Centro,25-29 anni,totale,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario
Centro,65-69 anni,totale,cause esterne di traumatismo e avvelenamento
Centro,65-69 anni,totale,altre malattie del sistema osteomuscolare e del tessuto connettivo
Centro,10-14 anni,femmine,tumori maligni
Centro,40-44 anni,totale,di cui tumori maligni dello stomaco
Centro,5-9 anni,maschi,altre malattie del cuore
Centro,65-69 anni,totale,malattie croniche delle basse vie respiratorie
Centro,80-84 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,80-84 anni,totale,abuso di alcool (compresa psicosi alcolica)
Centro,45-49 anni,totale,altre malattie del sistema circolatorio
Centro,85-89 anni,maschi,malattie cerebrovascolari
Centro,15-19 anni,totale,polmonite
Centro,80-84 anni,totale,di cui tumori maligni della prostata
Centro,70-74 anni,totale,diabete mellito
Centro,90-94 anni,femmine,altre malattie infettive e parassitarie
Centro,30-34 anni,femmine,di cui tumori maligni dell'ovaio
Centro,totale,femmine,di cui asma
Centro,1-4 anni,totale,di cui morbo di hodgkin e linfomi
Centro,55-59 anni,totale,di cui tumori maligni del seno
Centro,90-94 anni,totale,di cui tumori maligni del pancreas
Centro,30-34 anni,femmine,di cui tumori maligni del seno
Centro,65-69 anni,femmine,altre cause esterne di traumatismo e avvelenamento
Centro,25-29 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,25-29 anni,totale,di cui leucemia
Centro,65-69 anni,maschi,di cui altre malattie croniche delle basse vie respiratorie
Centro,80-84 anni,femmine,di cui tumori maligni della cervice uterina
Centro,25-29 anni,maschi,alcune malattie infettive e parassitarie
Centro,45-49 anni,totale,"Covid-19, virus non identificato"
Centro,95 anni e più,maschi,"ulcera dello stomaco, duodeno e digiuno"
Centro,80-84 anni,maschi,"sintomi, segni, risultati anomali e cause mal definite"
Centro,0 anni,femmine,malattie dell'apparato digerente
Centro,60-64 anni,totale,di cui avvelenamento accidentale
